時間,ツイート本文,いいね,リツイート,ID
2022-12-06 03:00:00+00:00,"⏰本日12月6日23:59まで⏰
期間・席数限定SALE！
年末年始の帰省や2月までの旅行に使えるおトクな運賃「ソラシドスペシャル✈」

本日まで！お見逃しなく👍

🟢予約・販売
2022年12月6日(火)23:59まで
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

詳細へ👇",49,8,1599961830083817472
2022-12-06 01:47:36+00:00,"@FDA_fujidream ドレミちゃんは@FDA_fujidreamさんの飛行機なら、
このピンクのがタイプです♪ https://t.co/gSQpnU50Sj",121,5,1599943607552987137
2022-12-06 01:31:40+00:00,"@FDA_fujidream くるくるに丸まったプチプチから、
かっちょいいカレンダーが飛び出してきた！
٩( °ꇴ °)۶━╹̻╹̻｡*

ありがとうございまーす！！！ https://t.co/c91B39OzdB",162,9,1599939598624645121
2022-12-06 01:01:00+00:00,"朝出社したら、
FDAサンタ（@FDA_fujidream）から、
突然荷物が届いている・・・🎁 https://t.co/TEmahgxSNA",261,16,1599931880501043202
2022-12-05 23:27:17+00:00,"おはようございます♪
サッカー日本代表の皆さま、お疲れ様でした！✨

頑張る姿はとてもかっこよかったです⚽️
感動をありがとうございました！

今日もよろしくお願いします✈️",112,3,1599908296928165889
2022-12-05 06:09:44+00:00,"／
沖縄の冬の魅力発見！
あなたはどの旅行タイプ？
＼

あなたにおすすめの沖縄旅をご紹介✈️✨

✅@SolaseedAir_JP をフォロー
✅ 診断結果を #ソラシド沖縄旅行診断 をつけてツイート
で航空券など豪華賞品を当てよう🎁

🟢応募期間
2022年12月5日(月)～2023年1月31日(火)

早速診断しよう👇",71,18,1599647190841819136
2022-12-02 09:00:02+00:00,"＼\まもなく終了⏰/／
予約・購入は2022年12月6日まで！
ソラシドスペシャル✈️✨

福岡-沖縄線 4,300円～！
羽田-九州・沖縄線 6,200円～！

まだ間に合います♪

🟢予約・販売
2022年12月6日(火)23:59まで
※支払期限：ご予約日当日

🟢対象搭乗期間
2022年12月21日(水)～2023年2月28日(火)

詳細へ👇",60,8,1598602882957201409
2022-12-02 06:00:00+00:00,"╭━━━━━━━━╮
  🐻再販スタート🌹
╰━━ｖ━━━━━╯
「20thアニバーサリー ソラシド スマイリーベアーズ」

好評につき機内販売とソラシドエア オンラインショップ（https://t.co/iqB5JCEudM）で、2022年12月限定で復活♪

仲良しベアはクリスマスのホリデーギフトにもおすすめʕ•ﻌ•ʔ💚 https://t.co/2cCxQpasDo",102,10,1598557576790036480
2022-12-02 03:00:00+00:00,"空恋パートナー #沖縄市 からお知らせ🌺

2022年12月4日にUrban Sports Festival Okinawa 2022を沖縄市コザゲート通りで開催♪

ブレイクダンス世界大会「BATTLE OF THE YEAR」のパブリックビューイングも予定！（12月3日開催分）

#DJKOO さんをはじめ豪華なゲストも！
https://t.co/egNUmOz2zC https://t.co/3mzHCYBzsg",51,4,1598512278503972864
2022-12-02 00:14:54+00:00,"おはようございます！
朝から素晴らしいニュースをありがとうございます
ﾜｧ───ヽ(*ﾟ∀ﾟ*)ﾉ───ｲ

サッカー日本代表の皆さま、おめでとうございます！！
ブラボー！！！",120,4,1598470729607315456
